tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 6,2016,1,31703,34252,"New York City, NY (Metropolitan Area)","Pasco/Kennewick/Richland, WA",2281,18.1318681318681,313.846666666667,DL,0.387878787878788,336.65625,AS,0.242424242424242,243.26
Table 6,2016,1,31703,34262,"New York City, NY (Metropolitan Area)","Palm Springs, CA",2413,309.120879120879,310.668681123356,B6,0.420902950586562,201.779138513514,B6,0.420902950586562,201.779138513514
Table 6,2016,1,31703,34321,"New York City, NY (Metropolitan Area)","Portland, ME",284,292.857142857143,179.633808630394,B6,0.442401500938086,141.991348600509,B6,0.442401500938086,141.991348600509
Table 6,2016,1,31703,34457,"New York City, NY (Metropolitan Area)","Rapid City, SD",1509,17.5824175824176,355.11,DL,0.4875,337.055128205128,DL,0.4875,337.055128205128
Table 6,2016,1,31703,34492,"New York City, NY (Metropolitan Area)","Raleigh/Durham, NC",463,2029.23076923077,159.478928842196,DL,0.354976713960793,158.65176201373,AA,0.234105924401603,155.787925052047
Table 6,2016,1,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",325,347.802197802198,324.52663507109,DL,0.476145339652449,337.607631055076,AA,0.283412322274882,314.658193979933
Table 6,2016,1,31703,34570,"New York City, NY (Metropolitan Area)","Reno, NV",2443,308.461538461538,246.371927324546,B6,0.55860349127182,193.810714285714,B6,0.55860349127182,193.810714285714
Table 6,2016,1,31703,34574,"New York City, NY (Metropolitan Area)","Roanoke, VA",440,72.967032967033,198.51671686747,AA,0.909638554216867,196.162582781457,AA,0.909638554216867,196.162582781457
Table 6,2016,1,31703,34576,"New York City, NY (Metropolitan Area)","Rochester, NY",285,556.703296703297,163.749388077379,DL,0.473746545598105,168.451041666667,B6,0.372285827082511,142.472004241782
Table 6,2016,1,31703,34614,"New York City, NY (Metropolitan Area)","Salt Lake City, UT",2022,1516.04395604396,357.791896201798,DL,0.616990432009278,411.730145676692,B6,0.116700492896492,253.519751552795
Table 6,2016,1,31703,34653,"New York City, NY (Metropolitan Area)","Tulsa, OK",1271,140.659340659341,296.04296875,AA,0.43359375,290.269009009009,WN,0.178125,264.853947368421
Table 6,2016,1,31703,34674,"New York City, NY (Metropolitan Area)","Santa Fe, NM",1784,19.6703296703297,328.013407821229,AA,0.525139664804469,349.584042553191,UA,0.463687150837989,290.420481927711
Table 6,2016,1,31703,34685,"New York City, NY (Metropolitan Area)","Savannah, GA",756,793.516483516484,154.724193325024,B6,0.445921617504501,123.026708074534,B6,0.445921617504501,123.026708074534
Table 6,2016,1,31703,34689,"New York City, NY (Metropolitan Area)","Santa Barbara, CA",2538,58.9010989010989,409.047947761194,UA,0.520522388059702,377.952688172043,UA,0.520522388059702,377.952688172043
Table 6,2016,1,31703,34696,"New York City, NY (Metropolitan Area)","South Bend, IN",657,60.4395604395604,275.011818181818,UA,0.638181818181818,263.178917378917,UA,0.638181818181818,263.178917378917
Table 6,2016,1,31703,34699,"New York City, NY (Metropolitan Area)","Steamboat Springs, CO",1749,96.043956043956,349.096453089245,UA,0.747139588100686,353.133537519142,UA,0.747139588100686,353.133537519142
Table 6,2016,1,31703,34783,"New York City, NY (Metropolitan Area)","Springfield, MO",1087,39.4505494505495,331.476044568245,AA,0.579387186629526,338.173557692308,DL,0.155988857938719,323.185714285714
Table 6,2016,1,31703,34922,"New York City, NY (Metropolitan Area)","Salinas/Monterey, CA",2584,17.3626373626374,432.166455696203,UA,0.60126582278481,445.082105263158,AA,0.29746835443038,417.657446808511
Table 6,2016,1,31703,34952,"New York City, NY (Metropolitan Area)","Springfield, IL",845,14.8351648351648,258.707407407407,UA,0.933333333333333,259.772222222222,AA,0.0222222222222222,175.333333333333
Table 6,2016,1,31703,34986,"New York City, NY (Metropolitan Area)","Sarasota/Bradenton, FL",1084,625.164835164835,209.029038495342,B6,0.515029003339779,197.960409556314,B6,0.515029003339779,197.960409556314
Table 6,2016,1,31703,35041,"New York City, NY (Metropolitan Area)","Sun Valley/Hailey/Ketchum, ID",2072,22.7472527472527,559.016425120773,DL,0.623188405797101,545.391472868217,DL,0.623188405797101,545.391472868217
Table 6,2016,1,31703,35096,"New York City, NY (Metropolitan Area)","Syracuse, NY",223,285.934065934066,157.17382782475,DL,0.450422751729439,164.019795221843,B6,0.423136049192929,141.466666666667
Table 6,2016,1,31703,35249,"New York City, NY (Metropolitan Area)","Tallahassee, FL",947,97.032967032967,284.348357870895,AA,0.526613816534541,261.527956989247,AA,0.526613816534541,261.527956989247
Table 6,2016,1,31703,35380,"New York City, NY (Metropolitan Area)","Traverse City, MI",664,20.2197802197802,326.677717391304,DL,0.657608695652174,332.499173553719,UA,0.16304347826087,289.546666666667
Table 6,2016,1,31714,30198,"Fort Myers, FL","Pittsburgh, PA",966,458.791208791209,185.842562874251,WN,0.843592814371257,181.052782509938,WN,0.843592814371257,181.052782509938
Table 6,2016,1,31714,30255,"Fort Myers, FL","Huntsville, AL",633,10.3296703296703,273.612765957447,DL,0.808510638297872,260.578947368421,DL,0.808510638297872,260.578947368421
Table 6,2016,1,31714,30424,"Fort Myers, FL","Wausau/Mosinee/Stevens Point, WI",1332,15.2747252747253,314.579856115108,DL,0.503597122302158,322.321428571429,UA,0.201438848920863,289.285714285714
Table 6,2016,1,31714,30434,"Fort Myers, FL","Scranton/Wilkes-Barre, PA",1077,34.7252747252747,207.55253164557,AA,0.620253164556962,217.077551020408,DL,0.341772151898734,194.101851851852
Table 6,2016,1,31714,30436,"Fort Myers, FL","Tucson, AZ",1797,29.1208791208791,311.151320754717,AA,0.584905660377358,293.089032258064,AA,0.584905660377358,293.089032258064
Table 6,2016,1,31714,30466,"Fort Myers, FL","Phoenix, AZ",1868,160.43956043956,293.125684931507,AA,0.441780821917808,307.357054263566,UA,0.154794520547945,268.967256637168
