matches,team,year
11,frc4309,2012
60,frc271,2008
32,frc1739,2008
9,frc3368,2013
10,frc1371,2008
14,frc3074,2011
11,frc3599,2012
9,frc3028,2012
39,frc1251,2015
7,frc2667,2009
24,frc2152,2012
30,frc1446,2010
34,frc4811,2017
12,frc3675,2011
37,frc578,2014
9,frc3361,2014
19,frc3971,2014
33,frc4276,2013
24,frc5401,2015
11,frc4742,2013
27,frc903,2008
14,frc3616,2012
10,frc3592,2011
43,frc219,2016
44,frc1622,2010
10,frc1359,2011
67,frc40,2008
9,frc1751,2015
16,frc4497,2013
17,frc2647,2015
46,frc1647,2016
11,frc2457,2008
36,frc5535,2016
9,frc2498,2008
11,frc2520,2013
30,frc5577,2017
9,frc4299,2014
9,frc1375,2008
26,frc3352,2010
37,frc587,2012
9,frc3651,2013
37,frc179,2015
36,frc1011,2012
23,frc6236,2017
8,frc974,2013
43,frc231,2015
12,frc4314,2015
24,frc4555,2015
12,frc2272,2010
40,frc93,2015
53,frc2096,2017
24,frc3003,2017
13,frc1168,2010
11,frc3737,2014
9,frc1652,2007
10,frc2038,2010
24,frc3706,2012
23,frc1557,2011
27,frc435,2014
61,frc829,2017
53,frc5854,2016
30,frc4381,2012
16,frc1245,2008
25,frc3481,2011
29,frc1899,2012
33,frc6556,2017
18,frc834,2010
9,frc5773,2017
22,frc2517,2013
17,frc4240,2015
11,frc2372,2008
12,frc4486,2013
57,frc3941,2017
25,frc2543,2015
24,frc4637,2015
7,frc1923,2007
50,frc1126,2015
8,frc1195,2007
8,frc1398,2017
51,frc1912,2013
14,frc2159,2009
9,frc2529,2010
41,frc1732,2011
11,frc2657,2017
20,frc1389,2012
11,frc2950,2010
18,frc2081,2010
5,frc71,2004
9,frc5966,2017
10,frc4674,2014
55,frc75,2016
9,frc2532,2012
20,frc2978,2016
48,frc3970,2014
26,frc4252,2017
29,frc1626,2008
38,frc440,2008
11,frc3043,2011
10,frc2679,2015
10,frc2613,2008
8,frc145,2009
15,frc3083,2016
41,frc1266,2014
13,frc1952,2008
24,frc5246,2015
24,frc468,2009
16,frc1947,2006
40,frc1796,2013
13,frc1746,2010
9,frc4784,2013
99,frc33,2015
10,frc1617,2005
44,frc2620,2009
10,frc2022,2008
10,frc1289,2011
23,frc1920,2012
9,frc2987,2010
46,frc2067,2012
47,frc2171,2016
8,frc5421,2016
20,frc1329,2017
9,frc5883,2017
39,frc1322,2016
11,frc6683,2017
24,frc5470,2017
10,frc1178,2016
25,frc5511,2015
10,frc1358,2007
10,frc3704,2015
11,frc3065,2011
27,frc3268,2016
26,frc3607,2013
10,frc6141,2016
14,frc3792,2013
12,frc2508,2014
11,frc16,2005
45,frc118,2010
14,frc2393,2014
69,frc88,2015
48,frc6086,2017
10,frc1965,2012
66,frc1756,2015
15,frc3838,2012
11,frc3042,2011
29,frc3479,2014
24,frc1577,2015
24,frc4835,2014
43,frc1023,2005
11,frc4845,2017
23,frc1000,2008
26,frc1509,2006
10,frc5591,2015
28,frc6191,2017
8,frc606,2013
14,frc4232,2012
46,frc2559,2012
43,frc997,2016
9,frc1221,2005
10,frc3337,2010
9,frc4336,2015
63,frc340,2012
28,frc3072,2016
9,frc2103,2007
7,frc2513,2009
51,frc3255,2016
9,frc5474,2016
9,frc848,2015
20,frc2659,2010
53,frc378,2015
40,frc461,2008
12,frc5440,2016
9,frc4595,2016
12,frc2202,2010
31,frc4392,2013
46,frc175,2011
28,frc1722,2006
45,frc1902,2009
10,frc1484,2011
51,frc8,2016
69,frc226,2017
18,frc2509,2016
15,frc640,2005
10,frc1561,2007
36,frc1726,2009
13,frc1583,2005
21,frc2283,2011
29,frc968,2015
61,frc3464,2015
12,frc4374,2013
7,frc2605,2009
10,frc3381,2016
12,frc1546,2010
8,frc619,2015
10,frc4333,2012
19,frc246,2006
11,frc3229,2014
29,frc568,2016
31,frc4325,2015
30,frc1429,2012
11,frc2980,2012
33,frc229,2010
26,frc4481,2015
7,frc1880,2009
43,frc885,2014
87,frc3238,2016
14,frc1688,2006
50,frc4909,2015
31,frc2411,2016
8,frc804,2006
44,frc4294,2013
38,frc3008,2015
49,frc840,2013
24,frc4829,2016
14,frc1660,2006
19,frc1811,2010
8,frc4978,2017
23,frc3480,2017
11,frc4726,2013
30,frc2537,2014
9,frc1349,2006
10,frc2465,2011
10,frc3378,2011
9,frc2986,2015
43,frc5588,2016
42,frc1985,2014
26,frc6020,2016
13,frc5064,2014
7,frc2606,2009
26,frc3739,2017
3,frc3089,2010
6,frc3324B,2015
7,frc263,2005
12,frc1687,2010
26,frc841,2012
47,frc1711,2012
12,frc4009,2013
12,frc5147,2015
11,frc2187,2015
10,frc2193,2010
14,frc7,2010
55,frc368,2008
8,frc1237,2011
8,frc2330,2009
10,frc2737,2013
10,frc2825,2015
11,frc949,2012
13,frc4266,2014
60,frc1712,2016
10,frc3397,2017
36,frc1474,2014
9,frc1894,2007
11,frc1332,2007
26,frc3419,2014
14,frc1209,2007
28,frc816,2015
27,frc272,2010
19,frc395,2015
10,frc448,2005
42,frc2377,2015
11,frc3849,2014
26,frc3632,2013
9,frc3080,2010
20,frc845,2006
10,frc4191,2015
45,frc5502,2017
7,frc648,2007
28,frc746,2015
24,frc4213,2017
27,frc3387,2014
23,frc753,2008
12,frc4617,2016
40,frc533,2015
29,frc987,2005
21,frc1111,2012
22,frc5879,2016
10,frc1303,2011
18,frc1458,2005
17,frc1721,2013
8,frc1933,2006
38,frc663,2014
27,frc665,2012
19,frc1802,2016
12,frc4234,2014
76,frc4003,2016
14,frc2773,2011
23,frc339,2009
24,frc5213,2016
11,frc2526,2011
13,frc4144,2014
19,frc555,2011
24,frc2246,2013
11,frc4732,2013
35,frc2473,2014
17,frc5453,2016
41,frc1690,2016
44,frc714,2015
18,frc1027,2010
