District,State Country,Location,Team #,Related team #'s,Most Recent Yr,Rookie Year,Lat/Lon,Accurate Coord,school name,Name,Notes,
#N/A,IL,"Lincolnshire, IL ",92,A166,2005,1997,"42.19657,-87.945874",1,Adlai Stevenson High School ,MPC Products & Adlai E. Stevenson High School,,
,WI,"Neenah, WI ",93,A167,2016,1997,"44.246194,-88.373334",1,,Plexus Corp./Appleton Area School District & Tesla Engineering Charter School & East High & North High & West High ,,
MI,MI,"Southfield, MI ",94,,2016,1998,"42.468228,-83.263973",1,Southfield High School ,Lear Corporation/Denso Corporation/FORD MOTOR COMPANY & Southfield High School ,,
NE,NH,"Lebanon, NH ",95,A168,2016,1997,"43.652781,-72.252196",1,,Hartford Area Career and Technology Center/Byrne Foundation/NASA/BAE Systems/NDEP/CRREL/Hypertherm & Hartford Area Career and Technology Center ,,
#N/A,CT,"Enfield, CT ",96,,2006,1998,"42.119635,-72.549729",1,,PUTNAM VOCATIONAL,,
NE,MA,"Cambridge, MA ",97,A23,2016,1992,"42.374091,-71.11185",1,,"Akamai Technologies/Draper Laboratories/Vecna Technologies, Inc & Cambridge Rindge and Latin ",,
#N/A,TX,"Dallas, TX ",98,A60,2001,1994,"32.890486,-96.801201",1,,"Lennox International, Inc. & St. Mark's School of Texas ",,
#N/A,NH,"Manchester, NH ",99,"A29,238",1998,1992,"42.966415,-71.433729",1,,Light Machines Corporation/ Intelitek & Memorial HS,,
,CA,"Woodside, CA ",100,A84,2016,1995,"37.444489,-122.231473",1,,"Woodside High School Foundation/Sequoia Union High School District/Tate Family/Pentair/Lawrence Searcy/Barnes & Associates Insurance/Woodcraft/Solutions2Projects, LLC/Intuitive Surgical/Microsemi Corporation/SRI International/Recology San Mateo County/Brin Wojcicki Foundation/John & Jane Shroyer/SolidWorks/Alan Steel and Supply Company & Woodside High ",,
,IL,"Arlington Heights, IL ",101,A170,2016,1997,"41.93872,-87.774927",1,,St Patrick High School ,,
MAR,NJ,"Somerville, NJ ",102,,2016,1998,"40.578621,-74.611487",1,,"Janssen Pharmaceuticals Inc. / Piccatinny Arsenal / Air Liquide / PSEG / Central Jersey Trailer and Hitch LLC / Alloy Welding Company, Inc. / Gerber Metal Supply Company / Dr. Victor J. Bauer & Somerville High ",,
MAR,PA,"Kintnersville, PA ",103,A171,2016,1997,"40.522744,-75.19895",1,,"Amplifier Research/Hot Chalk/Lutron Electronics, Inc/PHTool/Tyndale/BAE Systems/Fred Beans Automotive/Stokes Manufacturing/Harro Hoflinger/Client Link & Palisades Hs ",,
MAR,PA,"West Chester, PA ",104,,2009,1998,"39.972286,-75.595572",1,,MEI & WCASD High Schools,,
#N/A,MA,"Charlton, MA ",105,A136,2002,1996,"42.133829,-71.957059",1,,Massachusetts Electric/New England Electric & Bay Path Regional Vocational Technical High School ,,
#N/A,PA,"Philadelphia, PA ",106,A172,2001,1997,"39.983465,-75.161094",1,,McNeil Consumer Products & George Washington Carver High School for Engineering & Science/William Penn High School ,,
MI,MI,"Holland, MI ",107,A173,2016,1997,"42.76241,-86.126469",1,,Metal Flow/Tommy's Express Car Wash/Grand Valley State University/World Class Prototypes/Koops/Twisthink & Holland Christian High School ,,
,FL,"Plantation, FL ",108,A75,2016,1995,"26.140349,-80.176444",1,,Motorola Solutions Foundation / Florida Power & Light / Broward County Public Schools & Dillard High School ,,
#N/A,IL,"Libertyville, IL ",109,A138,2002,1996,"42.283415,-87.965876",1,,Arial Systems Corporation & Libertyville High School ,,
#N/A,TX,"North Richland Hills, TX ",110,A91,2000,1995,"32.843608,-97.232487",1,,"NASA Johnson Space Center/Motorola, Inc./Richland High School & Birdville High School ",,
,IL,"Arlington Heights, IL ",111,A27,2016,1992,"42.065543,-88.015959",1,,"Motorola Solutions Foundation / Methode Electronics / Township High School District 214 / Numerical Precision, Inc. / Nu-Way Industries / Lendrix / Magnetic Inspection Laboratory / Just Manufacturing / Automatic Precision & Rolling Meadows High School & Wheeling High School & Prospect High School & John Hersey High School ",,
#N/A,IL,"Arlington Heights, IL ",112,,2002,1998,"42.102579,-87.960982",1,,Motorola & John Hersey High School & Buffalo Grove High School ,,
#N/A,NJ,"Paterson, NJ ",113,A206,2001,1997,"40.915203,-74.159984",1,,Universal Metal Craft & Eastside High School ,,
,CA,"Los Altos, CA ",114,A174,2016,1997,"37.385674,-122.109572",1,,Google / Western Digital / Lockheed Martin / Intuitive Surgical / Applied Welding Technology / Advanced Component Technology / Los Altos High School & Los Altos High ,,
