"key","name","event_code","event_type","city","state_prov","country","start_date","end_date","year","district.display_name","district.key","district.year","district.abbreviation","lat","long"
"2016mnmi","Minnesota 10000 Lakes Regional","mnmi",0,"Minneapolis","MN","USA","2016-04-06","2016-04-09",2016,,,,,,
"2016mnmi2","Minnesota North Star Regional","mnmi2",0,"Minneapolis","MN","USA","2016-04-06","2016-04-09",2016,,,,,,
"2016mnri","Minnesota Robotics Invitational","mnri",99,"Roseville","MN","USA","2016-10-15","2016-10-15",2016,,,,,,
"2016mnsc","Minnesota State High School League State Championships","mnsc",99,"Minneapolis","MN","USA","2016-05-21","2016-05-21",2016,,,,,,
"2016mogw","Gateway Robotics Challenge","mogw",99,"Missouri","MO","USA","2016-10-01","2016-10-01",2016,,,,,,
"2016mokc","Greater Kansas City Regional","mokc",0,"Kansas City","MO","USA","2016-03-09","2016-03-12",2016,,,,,,
"2016mosc","Missouri Robotics State Championship","mosc",99,"Missouri","MO","USA","2016-05-14","2016-05-14",2016,,,,,,
"2016mosl","St. Louis Regional","mosl",0,"St. Louis","MO","USA","2016-03-09","2016-03-12",2016,,,,,,
"2016mrcmp","Mid-Atlantic Robotics District Championship","mrcmp",2,"Bethlehem","PA","USA","2016-04-13","2016-04-16",2016,"Mid-Atlantic","2016mar",2016,"mar",,
"2016mttd","MadTown ThrowDown","mttd",99,"Madera","CA","USA","2016-11-11","2016-11-12",2016,,,,,,
"2016mvrc","Mahoning Valley Robotics Challenge","mvrc",99,"Austintown","OH","USA","2016-09-25","2016-09-25",2016,,,,,,
"2016mxmc","Mexico City Regional ","mxmc",0,"Mexico City","DIF","Mexico","2016-03-09","2016-03-12",2016,,,,,,
"2016ncash","NC District - UNC Asheville Event","ncash",1,"Asheville","NC","USA","2016-03-18","2016-03-20",2016,"North Carolina","2016nc",2016,"nc",,
"2016ncbui","NC District - Campbell University/Johnston Community College Event","ncbui",1,"Lillington","NC","USA","2016-04-01","2016-04-03",2016,"North Carolina","2016nc",2016,"nc",,
"2016nccmp","NC FIRST Robotics State Championship","nccmp",2,"Charlotte","NC","USA","2016-04-08","2016-04-10",2016,"North Carolina","2016nc",2016,"nc",,
"2016ncmcl","NC District - Guilford County Event","ncmcl",1,"McLeansville","NC","USA","2016-03-04","2016-03-06",2016,"North Carolina","2016nc",2016,"nc",,
"2016ncral","NC District - Wake County Event","ncral",1,"Raleigh","NC","USA","2016-03-11","2016-03-13",2016,"North Carolina","2016nc",2016,"nc",,
"2016ncth","THOR - Thundering Herd of Robots","ncth",99,"North Carolina","NC","USA","2016-09-24","2016-09-24",2016,,,,,,
"2016necmp","New England District Championship","necmp",2,"Hartford","CT","USA","2016-04-13","2016-04-16",2016,"New England","2016ne",2016,"ne",,
"2016new","Newton Division","new",3,"St. Louis","MO","USA","2016-04-27","2016-04-30",2016,,,,,,
"2016nhbb","Battle of the Bay","nhbb",99,"New Hampshire","NH","USA","2016-11-12","2016-11-12",2016,,,,,,
"2016nhdur","NE District - UNH Event","nhdur",1,"Durham","NH","USA","2016-03-24","2016-03-26",2016,"New England","2016ne",2016,"ne",,
"2016nhgrs","NE District - Granite State Event","nhgrs",1,"Windham","NH","USA","2016-03-04","2016-03-06",2016,"New England","2016ne",2016,"ne",,
"2016nhmm","Mayhem in Merrimack","nhmm",99,"Merrimack","NH","USA","2016-06-04","2016-06-04",2016,,,,,42.8678693,-71.49483219999999
"2016nhrr","RiverRage 20","nhrr",99,"Manchester","NH","USA","2016-10-29","2016-10-29",2016,,,,,42.9956397,-71.4547891
"2016njbri","MAR District - Bridgewater-Raritan Event","njbri",1,"Bridgewater","NJ","USA","2016-04-01","2016-04-03",2016,"Mid-Atlantic","2016mar",2016,"mar",,
"2016njdd","Duel on the Delaware","njdd",99,"Penns Grove","NJ","USA","2016-10-22","2016-10-22",2016,,,,,,
"2016njfla","MAR District - Mt. Olive Event","njfla",1,"Mount Olive Township","NJ","USA","2016-03-04","2016-03-06",2016,"Mid-Atlantic","2016mar",2016,"mar",,
"2016njmm","MidKnight Mayhem IV","njmm",99,"West Windsor Township","NJ","USA","2016-06-25","2016-06-25",2016,,,,,,
"2016njski","MAR District - Montgomery Event","njski",1,"Montgomery","NJ","USA","2016-04-08","2016-04-10",2016,"Mid-Atlantic","2016mar",2016,"mar",,
"2016njtab","MAR District - Seneca Event","njtab",1,"Tabernacle","NJ","USA","2016-03-18","2016-03-20",2016,"Mid-Atlantic","2016mar",2016,"mar",39.8433853,-74.7107048
"2016nvlv","Las Vegas Regional","nvlv",0,"Las Vegas","NV","USA","2016-03-30","2016-04-02",2016,,,,,36.1699412,-115.1398296
"2016nyhhh","HHH (Half Hollow Hills) Robotics Annual Invitational Tournament","nyhhh",99,"New York","NY","USA","2016-11-19","2016-11-19",2016,,,,,,
"2016nyhvr","Hudson Valley Rally","nyhvr",99,"New York","NY","USA","2016-06-04","2016-06-04",2016,,,,,40.7127837,-74.0059413
"2016nyli","SBPLI Long Island Regional","nyli",0,"Hempstead","NY","USA","2016-03-30","2016-04-02",2016,,,,,,
"2016nyny","New York City Regional","nyny",0,"New York","NY","USA","2016-03-10","2016-03-13",2016,,,,,40.7127837,-74.0059413
"2016nyro","Finger Lakes Regional ","nyro",0,"Rochester","NY","USA","2016-03-23","2016-03-26",2016,,,,,,
"2016nyrr","Rah Cha Cha Ruckus","nyrr",99,"Rochester","NY","USA","2016-10-29","2016-10-29",2016,,,,,,
"2016nytr","New York Tech Valley Regional","nytr",0,"Troy","NY","USA","2016-03-16","2016-03-19",2016,,,,,,
